"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency"
"07.02.2024 20:00 - 07.02.2024 21:00","99.91","EUR"
"07.02.2024 21:00 - 07.02.2024 22:00","98.52","EUR"
"07.02.2024 22:00 - 07.02.2024 23:00","95.55","EUR"
"07.02.2024 23:00 - 08.02.2024 00:00","95.12","EUR"
"08.02.2024 00:00 - 08.02.2024 01:00","102.36","EUR"
"08.02.2024 01:00 - 08.02.2024 02:00","88.98","EUR"
"08.02.2024 02:00 - 08.02.2024 03:00","79.99","EUR"
"08.02.2024 03:00 - 08.02.2024 04:00","72.17","EUR"
"08.02.2024 04:00 - 08.02.2024 05:00","89.52","EUR"
"08.02.2024 05:00 - 08.02.2024 06:00","133.51","EUR"
"08.02.2024 06:00 - 08.02.2024 07:00","134.72","EUR"
"08.02.2024 07:00 - 08.02.2024 08:00","131.61","EUR"
"08.02.2024 08:00 - 08.02.2024 09:00","133.76","EUR"
"08.02.2024 09:00 - 08.02.2024 10:00","113.55","EUR"
"08.02.2024 10:00 - 08.02.2024 11:00","97.79","EUR"
"08.02.2024 11:00 - 08.02.2024 12:00","91.87","EUR"
"08.02.2024 12:00 - 08.02.2024 13:00","100.8","EUR"
"08.02.2024 13:00 - 08.02.2024 14:00","123.5","EUR"
"08.02.2024 14:00 - 08.02.2024 15:00","126.78","EUR"
"08.02.2024 15:00 - 08.02.2024 16:00","130.01","EUR"
"08.02.2024 16:00 - 08.02.2024 17:00","123.38","EUR"
"08.02.2024 17:00 - 08.02.2024 18:00","132.81","EUR"
"08.02.2024 18:00 - 08.02.2024 19:00","127.7","EUR"
"08.02.2024 19:00 - 08.02.2024 20:00","127.93","EUR"
"08.02.2024 20:00 - 08.02.2024 21:00","120.39","EUR"
"08.02.2024 21:00 - 08.02.2024 22:00","112.67","EUR"
"08.02.2024 22:00 - 08.02.2024 23:00","101.59","EUR"
"08.02.2024 23:00 - 09.02.2024 00:00","100.0","EUR"
"09.02.2024 00:00 - 09.02.2024 01:00","80.97","EUR"
"09.02.2024 01:00 - 09.02.2024 02:00","79.48","EUR"
"09.02.2024 02:00 - 09.02.2024 03:00","79.48","EUR"
"09.02.2024 03:00 - 09.02.2024 04:00","81.1","EUR"
"09.02.2024 04:00 - 09.02.2024 05:00","120.97","EUR"
"09.02.2024 05:00 - 09.02.2024 06:00","166.92","EUR"
"09.02.2024 06:00 - 09.02.2024 07:00","194.64","EUR"
"09.02.2024 07:00 - 09.02.2024 08:00","249.94","EUR"
"09.02.2024 08:00 - 09.02.2024 09:00","248.42","EUR"
"09.02.2024 09:00 - 09.02.2024 10:00","199.99","EUR"
"09.02.2024 10:00 - 09.02.2024 11:00","124.15","EUR"
"09.02.2024 11:00 - 09.02.2024 12:00","96.07","EUR"
"09.02.2024 12:00 - 09.02.2024 13:00","102.98","EUR"
"09.02.2024 13:00 - 09.02.2024 14:00","116.8","EUR"
"09.02.2024 14:00 - 09.02.2024 15:00","140.76","EUR"
"09.02.2024 15:00 - 09.02.2024 16:00","200.0","EUR"
"09.02.2024 16:00 - 09.02.2024 17:00","155.0","EUR"
"09.02.2024 17:00 - 09.02.2024 18:00","168.0","EUR"
"09.02.2024 18:00 - 09.02.2024 19:00","170.0","EUR"
"09.02.2024 19:00 - 09.02.2024 20:00","182.34","EUR"
"09.02.2024 20:00 - 09.02.2024 21:00","155.0","EUR"
"09.02.2024 21:00 - 09.02.2024 22:00","199.99","EUR"
"09.02.2024 22:00 - 09.02.2024 23:00","175.84","EUR"
"09.02.2024 23:00 - 10.02.2024 00:00","163.17","EUR"
"10.02.2024 00:00 - 10.02.2024 01:00","180.0","EUR"
"10.02.2024 01:00 - 10.02.2024 02:00","127.06","EUR"
"10.02.2024 02:00 - 10.02.2024 03:00","130.06","EUR"
"10.02.2024 03:00 - 10.02.2024 04:00","125.0","EUR"
"10.02.2024 04:00 - 10.02.2024 05:00","127.02","EUR"
"10.02.2024 05:00 - 10.02.2024 06:00","154.99","EUR"
"10.02.2024 06:00 - 10.02.2024 07:00","135.0","EUR"
"10.02.2024 07:00 - 10.02.2024 08:00","120.0","EUR"
"10.02.2024 08:00 - 10.02.2024 09:00","107.73","EUR"
"10.02.2024 09:00 - 10.02.2024 10:00","110.0","EUR"
"10.02.2024 10:00 - 10.02.2024 11:00","103.05","EUR"
"10.02.2024 11:00 - 10.02.2024 12:00","86.82","EUR"
"10.02.2024 12:00 - 10.02.2024 13:00","92.6","EUR"
"10.02.2024 13:00 - 10.02.2024 14:00","95.01","EUR"
"10.02.2024 14:00 - 10.02.2024 15:00","99.07","EUR"
"10.02.2024 15:00 - 10.02.2024 16:00","110.01","EUR"
"10.02.2024 16:00 - 10.02.2024 17:00","130.01","EUR"
"10.02.2024 17:00 - 10.02.2024 18:00","154.99","EUR"
"10.02.2024 18:00 - 10.02.2024 19:00","121.28","EUR"
"10.02.2024 19:00 - 10.02.2024 20:00","110.0","EUR"
"10.02.2024 20:00 - 10.02.2024 21:00","79.95","EUR"
"10.02.2024 21:00 - 10.02.2024 22:00","122.02","EUR"
"10.02.2024 22:00 - 10.02.2024 23:00","103.03","EUR"
"10.02.2024 23:00 - 11.02.2024 00:00","81.04","EUR"
"11.02.2024 00:00 - 11.02.2024 01:00","74.72","EUR"
"11.02.2024 01:00 - 11.02.2024 02:00","74.48","EUR"
"11.02.2024 02:00 - 11.02.2024 03:00","64.75","EUR"
"11.02.2024 03:00 - 11.02.2024 04:00","62.02","EUR"
"11.02.2024 04:00 - 11.02.2024 05:00","55.99","EUR"
"11.02.2024 05:00 - 11.02.2024 06:00","46.25","EUR"
"11.02.2024 06:00 - 11.02.2024 07:00","49.19","EUR"
"11.02.2024 07:00 - 11.02.2024 08:00","53.16","EUR"
"11.02.2024 08:00 - 11.02.2024 09:00","55.06","EUR"
"11.02.2024 09:00 - 11.02.2024 10:00","57.97","EUR"
"11.02.2024 10:00 - 11.02.2024 11:00","61.16","EUR"
"11.02.2024 11:00 - 11.02.2024 12:00","63.97","EUR"
"11.02.2024 12:00 - 11.02.2024 13:00","68.34","EUR"
"11.02.2024 13:00 - 11.02.2024 14:00","73.81","EUR"
"11.02.2024 14:00 - 11.02.2024 15:00","79.92","EUR"
"11.02.2024 15:00 - 11.02.2024 16:00","69.8","EUR"
"11.02.2024 16:00 - 11.02.2024 17:00","68.04","EUR"
"11.02.2024 17:00 - 11.02.2024 18:00","76.07","EUR"
"11.02.2024 18:00 - 11.02.2024 19:00","78.24","EUR"
"11.02.2024 19:00 - 11.02.2024 20:00","70.98","EUR"
"11.02.2024 20:00 - 11.02.2024 21:00","63.29","EUR"
"11.02.2024 21:00 - 11.02.2024 22:00","65.97","EUR"
"11.02.2024 22:00 - 11.02.2024 23:00","64.62","EUR"
"11.02.2024 23:00 - 12.02.2024 00:00","57.38","EUR"
"12.02.2024 00:00 - 12.02.2024 01:00","65.0","EUR"
"12.02.2024 01:00 - 12.02.2024 02:00","59.94","EUR"
"12.02.2024 02:00 - 12.02.2024 03:00","58.79","EUR"
"12.02.2024 03:00 - 12.02.2024 04:00","57.77","EUR"
"12.02.2024 04:00 - 12.02.2024 05:00","59.21","EUR"
"12.02.2024 05:00 - 12.02.2024 06:00","65.0","EUR"
"12.02.2024 06:00 - 12.02.2024 07:00","95.07","EUR"
"12.02.2024 07:00 - 12.02.2024 08:00","90.09","EUR"
"12.02.2024 08:00 - 12.02.2024 09:00","100.98","EUR"
"12.02.2024 09:00 - 12.02.2024 10:00","93.7","EUR"
"12.02.2024 10:00 - 12.02.2024 11:00","83.0","EUR"
"12.02.2024 11:00 - 12.02.2024 12:00","77.26","EUR"
"12.02.2024 12:00 - 12.02.2024 13:00","66.86","EUR"
"12.02.2024 13:00 - 12.02.2024 14:00","65.13","EUR"
"12.02.2024 14:00 - 12.02.2024 15:00","65.0","EUR"
"12.02.2024 15:00 - 12.02.2024 16:00","64.52","EUR"
"12.02.2024 16:00 - 12.02.2024 17:00","75.81","EUR"
"12.02.2024 17:00 - 12.02.2024 18:00","90.99","EUR"
"12.02.2024 18:00 - 12.02.2024 19:00","93.02","EUR"
"12.02.2024 19:00 - 12.02.2024 20:00","86.32","EUR"
"12.02.2024 20:00 - 12.02.2024 21:00","76.53","EUR"
"12.02.2024 21:00 - 12.02.2024 22:00","67.94","EUR"
"12.02.2024 22:00 - 12.02.2024 23:00","63.75","EUR"
"12.02.2024 23:00 - 13.02.2024 00:00","57.32","EUR"
"13.02.2024 00:00 - 13.02.2024 01:00","48.93","EUR"
"13.02.2024 01:00 - 13.02.2024 02:00","48.16","EUR"
"13.02.2024 02:00 - 13.02.2024 03:00","45.52","EUR"
"13.02.2024 03:00 - 13.02.2024 04:00","43.89","EUR"
"13.02.2024 04:00 - 13.02.2024 05:00","44.14","EUR"
"13.02.2024 05:00 - 13.02.2024 06:00","49.07","EUR"
"13.02.2024 06:00 - 13.02.2024 07:00","48.22","EUR"
"13.02.2024 07:00 - 13.02.2024 08:00","48.37","EUR"
"13.02.2024 08:00 - 13.02.2024 09:00","48.55","EUR"
"13.02.2024 09:00 - 13.02.2024 10:00","49.0","EUR"
"13.02.2024 10:00 - 13.02.2024 11:00","49.67","EUR"
"13.02.2024 11:00 - 13.02.2024 12:00","50.42","EUR"
"13.02.2024 12:00 - 13.02.2024 13:00","51.11","EUR"
"13.02.2024 13:00 - 13.02.2024 14:00","49.67","EUR"
"13.02.2024 14:00 - 13.02.2024 15:00","48.71","EUR"
"13.02.2024 15:00 - 13.02.2024 16:00","48.44","EUR"
"13.02.2024 16:00 - 13.02.2024 17:00","49.0","EUR"
"13.02.2024 17:00 - 13.02.2024 18:00","49.2","EUR"
"13.02.2024 18:00 - 13.02.2024 19:00","49.35","EUR"
"13.02.2024 19:00 - 13.02.2024 20:00","49.35","EUR"
"13.02.2024 20:00 - 13.02.2024 21:00","48.69","EUR"
"13.02.2024 21:00 - 13.02.2024 22:00","49.1","EUR"
"13.02.2024 22:00 - 13.02.2024 23:00","48.09","EUR"
"13.02.2024 23:00 - 14.02.2024 00:00","35.24","EUR"
"14.02.2024 00:00 - 14.02.2024 01:00","24.79","EUR"
"14.02.2024 01:00 - 14.02.2024 02:00","20.53","EUR"
"14.02.2024 02:00 - 14.02.2024 03:00","20.3","EUR"
"14.02.2024 03:00 - 14.02.2024 04:00","24.0","EUR"
"14.02.2024 04:00 - 14.02.2024 05:00","32.41","EUR"
"14.02.2024 05:00 - 14.02.2024 06:00","35.78","EUR"
"14.02.2024 06:00 - 14.02.2024 07:00","46.85","EUR"
"14.02.2024 07:00 - 14.02.2024 08:00","49.09","EUR"
"14.02.2024 08:00 - 14.02.2024 09:00","49.95","EUR"
"14.02.2024 09:00 - 14.02.2024 10:00","50.0","EUR"
"14.02.2024 10:00 - 14.02.2024 11:00","50.08","EUR"
"14.02.2024 11:00 - 14.02.2024 12:00","51.37","EUR"
"14.02.2024 12:00 - 14.02.2024 13:00","51.27","EUR"
"14.02.2024 13:00 - 14.02.2024 14:00","50.88","EUR"
"14.02.2024 14:00 - 14.02.2024 15:00","49.99","EUR"
"14.02.2024 15:00 - 14.02.2024 16:00","49.38","EUR"
"14.02.2024 16:00 - 14.02.2024 17:00","50.08","EUR"
"14.02.2024 17:00 - 14.02.2024 18:00","49.67","EUR"
"14.02.2024 18:00 - 14.02.2024 19:00","49.07","EUR"
"14.02.2024 19:00 - 14.02.2024 20:00","48.53","EUR"
"14.02.2024 20:00 - 14.02.2024 21:00","48.79","EUR"
"14.02.2024 21:00 - 14.02.2024 22:00","49.93","EUR"
"14.02.2024 22:00 - 14.02.2024 23:00","48.77","EUR"
"14.02.2024 23:00 - 15.02.2024 00:00","45.47","EUR"
"15.02.2024 00:00 - 15.02.2024 01:00","46.67","EUR"
"15.02.2024 01:00 - 15.02.2024 02:00","46.35","EUR"
"15.02.2024 02:00 - 15.02.2024 03:00","47.17","EUR"
"15.02.2024 03:00 - 15.02.2024 04:00","48.0","EUR"
"15.02.2024 04:00 - 15.02.2024 05:00","48.59","EUR"
"15.02.2024 05:00 - 15.02.2024 06:00","49.42","EUR"
"15.02.2024 06:00 - 15.02.2024 07:00","60.01","EUR"
"15.02.2024 07:00 - 15.02.2024 08:00","65.01","EUR"
"15.02.2024 08:00 - 15.02.2024 09:00","65.88","EUR"
"15.02.2024 09:00 - 15.02.2024 10:00","76.17","EUR"
"15.02.2024 10:00 - 15.02.2024 11:00","72.03","EUR"
"15.02.2024 11:00 - 15.02.2024 12:00","67.79","EUR"
"15.02.2024 12:00 - 15.02.2024 13:00","64.84","EUR"
"15.02.2024 13:00 - 15.02.2024 14:00","64.41","EUR"
"15.02.2024 14:00 - 15.02.2024 15:00","67.75","EUR"
"15.02.2024 15:00 - 15.02.2024 16:00","72.88","EUR"
"15.02.2024 16:00 - 15.02.2024 17:00","76.45","EUR"
"15.02.2024 17:00 - 15.02.2024 18:00","82.01","EUR"
"15.02.2024 18:00 - 15.02.2024 19:00","82.01","EUR"
"15.02.2024 19:00 - 15.02.2024 20:00","69.97","EUR"
"15.02.2024 20:00 - 15.02.2024 21:00","64.06","EUR"
"15.02.2024 21:00 - 15.02.2024 22:00","55.45","EUR"
"15.02.2024 22:00 - 15.02.2024 23:00","51.74","EUR"
"15.02.2024 23:00 - 16.02.2024 00:00","48.38","EUR"
"16.02.2024 00:00 - 16.02.2024 01:00","38.19","EUR"
"16.02.2024 01:00 - 16.02.2024 02:00","34.56","EUR"
"16.02.2024 02:00 - 16.02.2024 03:00","32.5","EUR"
"16.02.2024 03:00 - 16.02.2024 04:00","30.16","EUR"
"16.02.2024 04:00 - 16.02.2024 05:00","29.89","EUR"
"16.02.2024 05:00 - 16.02.2024 06:00","32.84","EUR"
"16.02.2024 06:00 - 16.02.2024 07:00","35.81","EUR"
"16.02.2024 07:00 - 16.02.2024 08:00","39.07","EUR"
"16.02.2024 08:00 - 16.02.2024 09:00","38.89","EUR"
"16.02.2024 09:00 - 16.02.2024 10:00","38.08","EUR"
"16.02.2024 10:00 - 16.02.2024 11:00","35.69","EUR"
"16.02.2024 11:00 - 16.02.2024 12:00","35.21","EUR"
"16.02.2024 12:00 - 16.02.2024 13:00","36.14","EUR"
"16.02.2024 13:00 - 16.02.2024 14:00","32.99","EUR"
"16.02.2024 14:00 - 16.02.2024 15:00","32.35","EUR"
"16.02.2024 15:00 - 16.02.2024 16:00","31.29","EUR"
"16.02.2024 16:00 - 16.02.2024 17:00","33.95","EUR"
"16.02.2024 17:00 - 16.02.2024 18:00","34.83","EUR"
"16.02.2024 18:00 - 16.02.2024 19:00","30.0","EUR"
"16.02.2024 19:00 - 16.02.2024 20:00","29.99","EUR"
"16.02.2024 20:00 - 16.02.2024 21:00","26.36","EUR"
"16.02.2024 21:00 - 16.02.2024 22:00","25.51","EUR"
"16.02.2024 22:00 - 16.02.2024 23:00","24.43","EUR"
"16.02.2024 23:00 - 17.02.2024 00:00","19.56","EUR"
"17.02.2024 00:00 - 17.02.2024 01:00","19.32","EUR"
"17.02.2024 01:00 - 17.02.2024 02:00","18.88","EUR"
"17.02.2024 02:00 - 17.02.2024 03:00","18.43","EUR"
"17.02.2024 03:00 - 17.02.2024 04:00","13.22","EUR"
"17.02.2024 04:00 - 17.02.2024 05:00","11.16","EUR"
"17.02.2024 05:00 - 17.02.2024 06:00","9.99","EUR"
"17.02.2024 06:00 - 17.02.2024 07:00","11.11","EUR"
"17.02.2024 07:00 - 17.02.2024 08:00","17.23","EUR"
"17.02.2024 08:00 - 17.02.2024 09:00","19.78","EUR"
"17.02.2024 09:00 - 17.02.2024 10:00","21.43","EUR"
"17.02.2024 10:00 - 17.02.2024 11:00","20.78","EUR"
"17.02.2024 11:00 - 17.02.2024 12:00","16.91","EUR"
"17.02.2024 12:00 - 17.02.2024 13:00","13.2","EUR"
"17.02.2024 13:00 - 17.02.2024 14:00","12.22","EUR"
"17.02.2024 14:00 - 17.02.2024 15:00","13.0","EUR"
"17.02.2024 15:00 - 17.02.2024 16:00","19.33","EUR"
"17.02.2024 16:00 - 17.02.2024 17:00","23.51","EUR"
"17.02.2024 17:00 - 17.02.2024 18:00","26.33","EUR"
"17.02.2024 18:00 - 17.02.2024 19:00","26.41","EUR"
"17.02.2024 19:00 - 17.02.2024 20:00","25.86","EUR"
"17.02.2024 20:00 - 17.02.2024 21:00","25.69","EUR"
"17.02.2024 21:00 - 17.02.2024 22:00","26.21","EUR"
"17.02.2024 22:00 - 17.02.2024 23:00","25.41","EUR"
"17.02.2024 23:00 - 18.02.2024 00:00","24.56","EUR"
"18.02.2024 00:00 - 18.02.2024 01:00","13.64","EUR"
"18.02.2024 01:00 - 18.02.2024 02:00","13.71","EUR"
"18.02.2024 02:00 - 18.02.2024 03:00","24.89","EUR"
"18.02.2024 03:00 - 18.02.2024 04:00","28.42","EUR"
"18.02.2024 04:00 - 18.02.2024 05:00","33.38","EUR"
"18.02.2024 05:00 - 18.02.2024 06:00","34.94","EUR"
"18.02.2024 06:00 - 18.02.2024 07:00","37.99","EUR"
"18.02.2024 07:00 - 18.02.2024 08:00","39.61","EUR"
"18.02.2024 08:00 - 18.02.2024 09:00","41.75","EUR"
"18.02.2024 09:00 - 18.02.2024 10:00","43.03","EUR"
"18.02.2024 10:00 - 18.02.2024 11:00","40.45","EUR"
"18.02.2024 11:00 - 18.02.2024 12:00","41.0","EUR"
"18.02.2024 12:00 - 18.02.2024 13:00","40.1","EUR"
"18.02.2024 13:00 - 18.02.2024 14:00","39.88","EUR"
"18.02.2024 14:00 - 18.02.2024 15:00","42.87","EUR"
"18.02.2024 15:00 - 18.02.2024 16:00","46.66","EUR"
"18.02.2024 16:00 - 18.02.2024 17:00","46.12","EUR"
"18.02.2024 17:00 - 18.02.2024 18:00","46.77","EUR"
"18.02.2024 18:00 - 18.02.2024 19:00","46.05","EUR"
"18.02.2024 19:00 - 18.02.2024 20:00","43.14","EUR"
"18.02.2024 20:00 - 18.02.2024 21:00","40.36","EUR"
"18.02.2024 21:00 - 18.02.2024 22:00","43.14","EUR"
"18.02.2024 22:00 - 18.02.2024 23:00","44.73","EUR"
"18.02.2024 23:00 - 19.02.2024 00:00","43.69","EUR"
"19.02.2024 00:00 - 19.02.2024 01:00","42.94","EUR"
"19.02.2024 01:00 - 19.02.2024 02:00","42.46","EUR"
"19.02.2024 02:00 - 19.02.2024 03:00","44.21","EUR"
"19.02.2024 03:00 - 19.02.2024 04:00","43.91","EUR"
"19.02.2024 04:00 - 19.02.2024 05:00","44.92","EUR"
"19.02.2024 05:00 - 19.02.2024 06:00","51.57","EUR"
"19.02.2024 06:00 - 19.02.2024 07:00","64.99","EUR"
"19.02.2024 07:00 - 19.02.2024 08:00","79.09","EUR"
"19.02.2024 08:00 - 19.02.2024 09:00","83.84","EUR"
"19.02.2024 09:00 - 19.02.2024 10:00","75.03","EUR"
"19.02.2024 10:00 - 19.02.2024 11:00","78.78","EUR"
"19.02.2024 11:00 - 19.02.2024 12:00","80.53","EUR"
"19.02.2024 12:00 - 19.02.2024 13:00","72.74","EUR"
"19.02.2024 13:00 - 19.02.2024 14:00","68.38","EUR"
"19.02.2024 14:00 - 19.02.2024 15:00","64.38","EUR"
"19.02.2024 15:00 - 19.02.2024 16:00","66.6","EUR"
"19.02.2024 16:00 - 19.02.2024 17:00","69.79","EUR"
"19.02.2024 17:00 - 19.02.2024 18:00","74.96","EUR"
"19.02.2024 18:00 - 19.02.2024 19:00","94.81","EUR"
"19.02.2024 19:00 - 19.02.2024 20:00","77.66","EUR"
"19.02.2024 20:00 - 19.02.2024 21:00","60.76","EUR"
"19.02.2024 21:00 - 19.02.2024 22:00","56.15","EUR"
"19.02.2024 22:00 - 19.02.2024 23:00","53.47","EUR"
"19.02.2024 23:00 - 20.02.2024 00:00","52.7","EUR"
"20.02.2024 00:00 - 20.02.2024 01:00","46.97","EUR"
"20.02.2024 01:00 - 20.02.2024 02:00","44.95","EUR"
"20.02.2024 02:00 - 20.02.2024 03:00","43.04","EUR"
"20.02.2024 03:00 - 20.02.2024 04:00","42.27","EUR"
"20.02.2024 04:00 - 20.02.2024 05:00","43.23","EUR"
"20.02.2024 05:00 - 20.02.2024 06:00","52.35","EUR"
"20.02.2024 06:00 - 20.02.2024 07:00","59.93","EUR"
"20.02.2024 07:00 - 20.02.2024 08:00","85.66","EUR"
"20.02.2024 08:00 - 20.02.2024 09:00","88.71","EUR"
"20.02.2024 09:00 - 20.02.2024 10:00","77.78","EUR"
"20.02.2024 10:00 - 20.02.2024 11:00","80.22","EUR"
"20.02.2024 11:00 - 20.02.2024 12:00","93.01","EUR"
"20.02.2024 12:00 - 20.02.2024 13:00","90.13","EUR"
"20.02.2024 13:00 - 20.02.2024 14:00","83.05","EUR"
"20.02.2024 14:00 - 20.02.2024 15:00","80.38","EUR"
"20.02.2024 15:00 - 20.02.2024 16:00","75.04","EUR"
"20.02.2024 16:00 - 20.02.2024 17:00","91.09","EUR"
"20.02.2024 17:00 - 20.02.2024 18:00","93.07","EUR"
"20.02.2024 18:00 - 20.02.2024 19:00","92.27","EUR"
"20.02.2024 19:00 - 20.02.2024 20:00","70.01","EUR"
"20.02.2024 20:00 - 20.02.2024 21:00","55.0","EUR"
"20.02.2024 21:00 - 20.02.2024 22:00","53.65","EUR"
"20.02.2024 22:00 - 20.02.2024 23:00","41.9","EUR"
"20.02.2024 23:00 - 21.02.2024 00:00","36.01","EUR"
"21.02.2024 00:00 - 21.02.2024 01:00","37.37","EUR"
"21.02.2024 01:00 - 21.02.2024 02:00","36.79","EUR"
"21.02.2024 02:00 - 21.02.2024 03:00","36.82","EUR"
"21.02.2024 03:00 - 21.02.2024 04:00","36.82","EUR"
"21.02.2024 04:00 - 21.02.2024 05:00","37.95","EUR"
"21.02.2024 05:00 - 21.02.2024 06:00","39.02","EUR"
"21.02.2024 06:00 - 21.02.2024 07:00","42.74","EUR"
"21.02.2024 07:00 - 21.02.2024 08:00","53.39","EUR"
"21.02.2024 08:00 - 21.02.2024 09:00","55.3","EUR"
"21.02.2024 09:00 - 21.02.2024 10:00","56.18","EUR"
"21.02.2024 10:00 - 21.02.2024 11:00","55.56","EUR"
"21.02.2024 11:00 - 21.02.2024 12:00","55.35","EUR"
"21.02.2024 12:00 - 21.02.2024 13:00","51.74","EUR"
"21.02.2024 13:00 - 21.02.2024 14:00","49.99","EUR"
"21.02.2024 14:00 - 21.02.2024 15:00","51.62","EUR"
"21.02.2024 15:00 - 21.02.2024 16:00","50.64","EUR"
"21.02.2024 16:00 - 21.02.2024 17:00","52.82","EUR"
"21.02.2024 17:00 - 21.02.2024 18:00","55.74","EUR"
"21.02.2024 18:00 - 21.02.2024 19:00","54.85","EUR"
"21.02.2024 19:00 - 21.02.2024 20:00","52.68","EUR"
"21.02.2024 20:00 - 21.02.2024 21:00","46.03","EUR"
"21.02.2024 21:00 - 21.02.2024 22:00","41.14","EUR"
"21.02.2024 22:00 - 21.02.2024 23:00","39.37","EUR"
"21.02.2024 23:00 - 22.02.2024 00:00","34.38","EUR"
"22.02.2024 00:00 - 22.02.2024 01:00","30.98","EUR"
"22.02.2024 01:00 - 22.02.2024 02:00","27.42","EUR"
"22.02.2024 02:00 - 22.02.2024 03:00","27.07","EUR"
"22.02.2024 03:00 - 22.02.2024 04:00","27.95","EUR"
"22.02.2024 04:00 - 22.02.2024 05:00","33.57","EUR"
"22.02.2024 05:00 - 22.02.2024 06:00","46.42","EUR"
"22.02.2024 06:00 - 22.02.2024 07:00","58.17","EUR"
"22.02.2024 07:00 - 22.02.2024 08:00","56.96","EUR"
"22.02.2024 08:00 - 22.02.2024 09:00","64.99","EUR"
"22.02.2024 09:00 - 22.02.2024 10:00","64.99","EUR"
"22.02.2024 10:00 - 22.02.2024 11:00","59.97","EUR"
"22.02.2024 11:00 - 22.02.2024 12:00","64.99","EUR"
"22.02.2024 12:00 - 22.02.2024 13:00","52.3","EUR"
"22.02.2024 13:00 - 22.02.2024 14:00","35.32","EUR"
"22.02.2024 14:00 - 22.02.2024 15:00","34.94","EUR"
"22.02.2024 15:00 - 22.02.2024 16:00","34.45","EUR"
"22.02.2024 16:00 - 22.02.2024 17:00","34.12","EUR"
"22.02.2024 17:00 - 22.02.2024 18:00","34.14","EUR"
"22.02.2024 18:00 - 22.02.2024 19:00","33.82","EUR"
"22.02.2024 19:00 - 22.02.2024 20:00","31.24","EUR"
"22.02.2024 20:00 - 22.02.2024 21:00","30.02","EUR"
"22.02.2024 21:00 - 22.02.2024 22:00","24.44","EUR"
"22.02.2024 22:00 - 22.02.2024 23:00","12.06","EUR"
"22.02.2024 23:00 - 23.02.2024 00:00","1.95","EUR"
"23.02.2024 00:00 - 23.02.2024 01:00","1.6","EUR"
"23.02.2024 01:00 - 23.02.2024 02:00","1.04","EUR"
"23.02.2024 02:00 - 23.02.2024 03:00","0.35","EUR"
"23.02.2024 03:00 - 23.02.2024 04:00","0.0","EUR"
"23.02.2024 04:00 - 23.02.2024 05:00","0.0","EUR"
"23.02.2024 05:00 - 23.02.2024 06:00","0.0","EUR"
"23.02.2024 06:00 - 23.02.2024 07:00","2.61","EUR"
"23.02.2024 07:00 - 23.02.2024 08:00","14.36","EUR"
"23.02.2024 08:00 - 23.02.2024 09:00","14.68","EUR"
"23.02.2024 09:00 - 23.02.2024 10:00","12.44","EUR"
"23.02.2024 10:00 - 23.02.2024 11:00","5.0","EUR"
"23.02.2024 11:00 - 23.02.2024 12:00","4.92","EUR"
"23.02.2024 12:00 - 23.02.2024 13:00","6.64","EUR"
"23.02.2024 13:00 - 23.02.2024 14:00","3.48","EUR"
"23.02.2024 14:00 - 23.02.2024 15:00","0.19","EUR"
"23.02.2024 15:00 - 23.02.2024 16:00","0.01","EUR"
"23.02.2024 16:00 - 23.02.2024 17:00","2.4","EUR"
"23.02.2024 17:00 - 23.02.2024 18:00","6.0","EUR"
"23.02.2024 18:00 - 23.02.2024 19:00","5.37","EUR"
"23.02.2024 19:00 - 23.02.2024 20:00","1.98","EUR"
"23.02.2024 20:00 - 23.02.2024 21:00","0.0","EUR"
"23.02.2024 21:00 - 23.02.2024 22:00","-0.09","EUR"
"23.02.2024 22:00 - 23.02.2024 23:00","-0.15","EUR"
"23.02.2024 23:00 - 24.02.2024 00:00","-0.98","EUR"
"24.02.2024 00:00 - 24.02.2024 01:00","0.0","EUR"
"24.02.2024 01:00 - 24.02.2024 02:00","0.0","EUR"
"24.02.2024 02:00 - 24.02.2024 03:00","0.01","EUR"
"24.02.2024 03:00 - 24.02.2024 04:00","3.42","EUR"
"24.02.2024 04:00 - 24.02.2024 05:00","6.45","EUR"
"24.02.2024 05:00 - 24.02.2024 06:00","14.18","EUR"
"24.02.2024 06:00 - 24.02.2024 07:00","15.32","EUR"
"24.02.2024 07:00 - 24.02.2024 08:00","18.34","EUR"
"24.02.2024 08:00 - 24.02.2024 09:00","20.4","EUR"
"24.02.2024 09:00 - 24.02.2024 10:00","24.41","EUR"
"24.02.2024 10:00 - 24.02.2024 11:00","27.32","EUR"
"24.02.2024 11:00 - 24.02.2024 12:00","28.52","EUR"
"24.02.2024 12:00 - 24.02.2024 13:00","30.09","EUR"
"24.02.2024 13:00 - 24.02.2024 14:00","30.45","EUR"
"24.02.2024 14:00 - 24.02.2024 15:00","31.04","EUR"
"24.02.2024 15:00 - 24.02.2024 16:00","33.43","EUR"
"24.02.2024 16:00 - 24.02.2024 17:00","34.62","EUR"
"24.02.2024 17:00 - 24.02.2024 18:00","36.14","EUR"
"24.02.2024 18:00 - 24.02.2024 19:00","39.97","EUR"
"24.02.2024 19:00 - 24.02.2024 20:00","42.95","EUR"
"24.02.2024 20:00 - 24.02.2024 21:00","38.6","EUR"
"24.02.2024 21:00 - 24.02.2024 22:00","41.87","EUR"
