"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency"
"03.01.2024 21:00 - 03.01.2024 22:00","99.95","EUR"
"03.01.2024 22:00 - 03.01.2024 23:00","86.97","EUR"
"03.01.2024 23:00 - 04.01.2024 00:00","58.4","EUR"
"04.01.2024 00:00 - 04.01.2024 01:00","129.25","EUR"
"04.01.2024 01:00 - 04.01.2024 02:00","106.34","EUR"
"04.01.2024 02:00 - 04.01.2024 03:00","94.42","EUR"
"04.01.2024 03:00 - 04.01.2024 04:00","97.79","EUR"
"04.01.2024 04:00 - 04.01.2024 05:00","121.44","EUR"
"04.01.2024 05:00 - 04.01.2024 06:00","180.21","EUR"
"04.01.2024 06:00 - 04.01.2024 07:00","300.0","EUR"
"04.01.2024 07:00 - 04.01.2024 08:00","379.25","EUR"
"04.01.2024 08:00 - 04.01.2024 09:00","299.99","EUR"
"04.01.2024 09:00 - 04.01.2024 10:00","300.0","EUR"
"04.01.2024 10:00 - 04.01.2024 11:00","300.07","EUR"
"04.01.2024 11:00 - 04.01.2024 12:00","300.0","EUR"
"04.01.2024 12:00 - 04.01.2024 13:00","299.99","EUR"
"04.01.2024 13:00 - 04.01.2024 14:00","296.18","EUR"
"04.01.2024 14:00 - 04.01.2024 15:00","299.99","EUR"
"04.01.2024 15:00 - 04.01.2024 16:00","362.14","EUR"
"04.01.2024 16:00 - 04.01.2024 17:00","300.0","EUR"
"04.01.2024 17:00 - 04.01.2024 18:00","299.99","EUR"
"04.01.2024 18:00 - 04.01.2024 19:00","249.96","EUR"
"04.01.2024 19:00 - 04.01.2024 20:00","203.72","EUR"
"04.01.2024 20:00 - 04.01.2024 21:00","149.99","EUR"
"04.01.2024 21:00 - 04.01.2024 22:00","150.0","EUR"
"04.01.2024 22:00 - 04.01.2024 23:00","143.09","EUR"
"04.01.2024 23:00 - 05.01.2024 00:00","111.11","EUR"
"05.01.2024 00:00 - 05.01.2024 01:00","169.99","EUR"
"05.01.2024 01:00 - 05.01.2024 02:00","150.07","EUR"
"05.01.2024 02:00 - 05.01.2024 03:00","150.06","EUR"
"05.01.2024 03:00 - 05.01.2024 04:00","150.07","EUR"
"05.01.2024 04:00 - 05.01.2024 05:00","150.09","EUR"
"05.01.2024 05:00 - 05.01.2024 06:00","350.0","EUR"
"05.01.2024 06:00 - 05.01.2024 07:00","999.94","EUR"
"05.01.2024 07:00 - 05.01.2024 08:00","1478.91","EUR"
"05.01.2024 08:00 - 05.01.2024 09:00","1251.67","EUR"
"05.01.2024 09:00 - 05.01.2024 10:00","1000.0","EUR"
"05.01.2024 10:00 - 05.01.2024 11:00","999.98","EUR"
"05.01.2024 11:00 - 05.01.2024 12:00","800.0","EUR"
"05.01.2024 12:00 - 05.01.2024 13:00","999.91","EUR"
"05.01.2024 13:00 - 05.01.2024 14:00","899.06","EUR"
"05.01.2024 14:00 - 05.01.2024 15:00","999.97","EUR"
"05.01.2024 15:00 - 05.01.2024 16:00","1696.31","EUR"
"05.01.2024 16:00 - 05.01.2024 17:00","1758.0","EUR"
"05.01.2024 17:00 - 05.01.2024 18:00","1478.95","EUR"
"05.01.2024 18:00 - 05.01.2024 19:00","1896.0","EUR"
"05.01.2024 19:00 - 05.01.2024 20:00","1754.0","EUR"
"05.01.2024 20:00 - 05.01.2024 21:00","990.09","EUR"
"05.01.2024 21:00 - 05.01.2024 22:00","749.95","EUR"
"05.01.2024 22:00 - 05.01.2024 23:00","300.01","EUR"
"05.01.2024 23:00 - 06.01.2024 00:00","200.0","EUR"
"06.01.2024 00:00 - 06.01.2024 01:00","111.19","EUR"
"06.01.2024 01:00 - 06.01.2024 02:00","113.98","EUR"
"06.01.2024 02:00 - 06.01.2024 03:00","110.62","EUR"
"06.01.2024 03:00 - 06.01.2024 04:00","113.51","EUR"
"06.01.2024 04:00 - 06.01.2024 05:00","141.69","EUR"
"06.01.2024 05:00 - 06.01.2024 06:00","156.85","EUR"
"06.01.2024 06:00 - 06.01.2024 07:00","132.92","EUR"
"06.01.2024 07:00 - 06.01.2024 08:00","147.75","EUR"
"06.01.2024 08:00 - 06.01.2024 09:00","181.87","EUR"
"06.01.2024 09:00 - 06.01.2024 10:00","184.0","EUR"
"06.01.2024 10:00 - 06.01.2024 11:00","176.37","EUR"
"06.01.2024 11:00 - 06.01.2024 12:00","176.81","EUR"
